agent,t,sigma,wager,m_over_b
1,181,0.8450480208891704,0.8915336146224193,0.8915336146224193
1,182,0.8610607499360967,0.9027425249552676,0.9027425249552676
1,183,0.8446734146021961,0.8912713902215372,0.8912713902215372
1,184,0.8500983158358605,0.8950688210851023,0.8950688210851023
1,185,0.8508978093684345,0.8956284665579042,0.8956284665579042
1,186,0.8542945392350554,0.8980061774645387,0.8980061774645387
1,187,0.8673236652317711,0.9071265656622396,0.9071265656622396
1,188,0.8713067744183024,0.9099147420928115,0.9099147420928115
1,189,0.778908923638933,0.8452362465472532,0.8452362465472532
1,190,0.793943777342828,0.8557606441399794,0.8557606441399794
1,191,0.7685415365804312,0.8379790756063019,0.8379790756063019
1,192,0.7937230664493463,0.8556061465145424,0.8556061465145424
1,193,0.7785891779569823,0.8450124245698876,0.8450124245698876
1,194,0.7939378553395945,0.8557564987377162,0.8557564987377162
1,195,0.8132501192409136,0.8692750834686396,0.8692750834686396
1,196,0.822800699330731,0.8759604895315116,0.8759604895315116
1,197,0.8364680368633923,0.8855276258043745,0.8855276258043745
1,198,0.8285145063481032,0.8799601544436721,0.8799601544436721
1,199,0.83487849921544,0.884414949450808,0.884414949450808
2,0,1.0,1.0,1.0
2,1,0.974155513614635,0.9819088595302445,0.9819088595302445
2,2,0.9584768778912769,0.9709338145238937,0.9709338145238937
2,3,0.9572223409887661,0.9700556386921362,0.9700556386921362
2,4,0.9488820614119304,0.9642174429883512,0.9642174429883512
2,5,0.924056096626313,0.9468392676384192,0.9468392676384192
2,6,0.9246276416928139,0.9472393491849695,0.9472393491849695
2,7,0.9322440681046285,0.95257084767324,0.95257084767324
2,8,0.9243308441873832,0.9470315909311682,0.9470315909311682
2,9,0.9246857204162278,0.9472800042913594,0.9472800042913594
2,10,0.907116320525258,0.9349814243676806,0.9349814243676806
2,11,0.9059723435520478,0.9341806404864335,0.9341806404864335
2,12,0.9163814320056711,0.9414670024039697,0.9414670024039697
2,13,0.9158542061960032,0.9410979443372023,0.9410979443372023
